ano;mes;municipio;cod_ibge;uf;regiao;valor_formalizado;valor_executado;valor_devolvido
2015,0;7,0;SÃO ROQUE DO CANAÃ-ES                             ;3204955                       ;ES        ;SUDESTE             ;286621,5699999999;278622,05;289810,1500000001
2015,0;7,0;ITAPURANGA-GO                                     ;5211206                       ;GO        ;CENTRO-OESTE        ;394920,83;394920,663;131373,0000000001
2015,0;7,0;MINAÇU-GO                                         ;5213087                       ;GO        ;CENTRO-OESTE        ;1353913,5199999996;1297024,5100000007;0,0
2015,0;7,0;CARATINGA-MG                                      ;3113404                       ;MG        ;SUDESTE             ;215999,58;215999,5825;0,0
2015,0;7,0;ENTRE FOLHAS-MG                                   ;3123858                       ;MG        ;SUDESTE             ;159993,13;143993,128;274820,58
2015,0;7,0;NOVA RESENDE-MG                                   ;3145109                       ;MG        ;SUDESTE             ;268378,3000000001;268378,3000000001;0,0
2015,0;7,0;SÃO DOMINGOS DO PRATA-MG                          ;3161007                       ;MG        ;SUDESTE             ;110487,85;110487,84735;113883,3400000001
2015,0;7,0;VARGEM ALEGRE-MG                                  ;3170578                       ;MG        ;SUDESTE             ;151630,39;103630,39;1806067,6200000003
2015,0;7,0;ANAURILÂNDIA-MS                                   ;5000807                       ;MS        ;CENTRO-OESTE        ;243231,18;243231,175;438787,9500000002
2015,0;7,0;BANDEIRANTES-MS                                   ;5001508                       ;MS        ;CENTRO-OESTE        ;176811,11;128811,12025;1606832,9200000006
2015,0;7,0;IVINHEMA-MS                                       ;5004700                       ;MS        ;CENTRO-OESTE        ;809932,9;657966,7500000001;23493134,200000037
2015,0;7,0;SIDROLÂNDIA-MS                                    ;5007901                       ;MS        ;CENTRO-OESTE        ;546627,5500000002;410647,5000000001;2536491,7999999984
2015,0;7,0;TERENOS-MS                                        ;5008008                       ;MS        ;CENTRO-OESTE        ;367718,3;287729,55;7768533,820000007
2015,0;7,0;TRÊS LAGOAS-MS                                    ;5008305                       ;MS        ;CENTRO-OESTE        ;201795,2500000001;153795,25;1399148,5799999998
2015,0;7,0;ALTO PARAGUAI-MT                                  ;5100508                       ;MT        ;CENTRO-OESTE        ;203317,0;203291,54308;0,0
2015,0;7,0;APIACÁS-MT                                        ;5100805                       ;MT        ;CENTRO-OESTE        ;396180,86;396180,8599999999;0,0
2015,0;7,0;ARAPUTANGA-MT                                     ;5101258                       ;MT        ;CENTRO-OESTE        ;261875,46;261875,4757;605265,2400000003
2015,0;7,0;CÁCERES-MT                                        ;5102504                       ;MT        ;CENTRO-OESTE        ;192416,0;192416,0;0,0
2015,0;7,0;CARLINDA-MT                                       ;5102793                       ;MT        ;CENTRO-OESTE        ;739827,4700000001;655327,4682000004;5308262,919999997
2015,0;7,0;CUIABÁ-MT                                         ;5103403                       ;MT        ;CENTRO-OESTE        ;149864,57;141864,57492;62687,7
2015,0;7,0;ITAÚBA-MT                                         ;5104559                       ;MT        ;CENTRO-OESTE        ;116928,0;116928,0;0,0
2015,0;7,0;MIRASSOL D'OESTE-MT                               ;5105622                       ;MT        ;CENTRO-OESTE        ;164653,93;164653,93;12711,38
2015,0;7,0;NOSSA SENHORA DO LIVRAMENTO-MT                    ;5106109                       ;MT        ;CENTRO-OESTE        ;159949,9;159949,88;69115,4
2015,0;7,0;PEDRA PRETA-MT                                    ;5106372                       ;MT        ;CENTRO-OESTE        ;17780,0;13828,8936;27657,77
2015,0;7,0;MARAPANIM-PA                                      ;1504406                       ;PA        ;NORTE               ;95953,78;95953,78;70109,76
2015,0;7,0;LAGOA SECA-PB                                     ;2508307                       ;PB        ;NORDESTE            ;190108,39;187948,38976;1835910,0299999986
2015,0;7,0;DORMENTES-PE                                      ;2605152                       ;PE        ;NORDESTE            ;542429,6299999998;518429,5111199997;374547,5500000002
2015,0;7,0;TABIRA-PE                                         ;2614600                       ;PE        ;NORDESTE            ;63989,55;63989,549;0,0
2015,0;7,0;ALTO LONGÁ-PI                                     ;2200301                       ;PI        ;NORDESTE            ;431405,96;431381,7899999999;172285,6
2015,0;7,0;CAJAZEIRAS DO PIAUÍ-PI                            ;2202075                       ;PI        ;NORDESTE            ;438668,5;438666,6583000001;0,0
2015,0;7,0;FLORIANO-PI                                       ;2203909                       ;PI        ;NORDESTE            ;103999,72;103999,7194;69988,49
2015,0;7,0;GILBUÉS-PI                                        ;2204402                       ;PI        ;NORDESTE            ;136500,0;136500,0;0,0
2015,0;7,0;JOSÉ DE FREITAS-PI                                ;2205508                       ;PI        ;NORDESTE            ;87987,06;70994,43;0,0
2015,0;7,0;MANOEL EMÍDIO-PI                                  ;2205904                       ;PI        ;NORDESTE            ;197914,42;197914,37864;0,0
2015,0;7,0;MIGUEL ALVES-PI                                   ;2206209                       ;PI        ;NORDESTE            ;188000,0;188000,0;0,0
2015,0;7,0;OEIRAS-PI                                         ;2207009                       ;PI        ;NORDESTE            ;100400,0;100400,0;37396,45
2015,0;7,0;PADRE MARCOS-PI                                   ;2207207                       ;PI        ;NORDESTE            ;198445,29;198445,2765;0,0
2015,0;7,0;PIMENTEIRAS-PI                                    ;2208106                       ;PI        ;NORDESTE            ;103318,82;91715,75;0,0
2015,0;7,0;PRATA DO PIAUÍ-PI                                 ;2208601                       ;PI        ;NORDESTE            ;71927,0;71927,0;3983,94
2015,0;7,0;SANTA ROSA DO PIAUÍ-PI                            ;2209377                       ;PI        ;NORDESTE            ;281881,2;281877,803;0,0
2015,0;7,0;SÃO JOÃO DO PIAUÍ-PI                              ;2210003                       ;PI        ;NORDESTE            ;732505,81;732505,8099999999;167298,4100000001
2015,0;7,0;TERESINA-PI                                       ;2211001                       ;PI        ;NORDESTE            ;213410,0;203118,53635;0,0
2015,0;7,0;UNIÃO-PI                                          ;2211100                       ;PI        ;NORDESTE            ;415118,7399999997;415110,9805999997;66856,96
2015,0;7,0;VÁRZEA GRANDE-PI                                  ;2211407                       ;PI        ;NORDESTE            ;64987,71;64265,73;0,0
2015,0;7,0;AMPÉRE-PR                                         ;4101002                       ;PR        ;SUL                 ;134003,3;102003,3;499374,4599999998
2015,0;7,0;BOM JESUS DO SUL-PR                               ;4103156                       ;PR        ;SUL                 ;48601,49;48601,49;612241,93
