Ano;UF;Quantidade (mil t)
2.009,00;PA;517,49
2.009,00;PB;93,63
2.009,00;PE;973,56
2.009,00;PI;808,61
2.009,00;PR;25.962,28
2.009,00;RJ;182,77
2.009,00;RN;53,52
2.009,00;RO;512,24
2.009,00;RR;147,42
2.009,00;RS;23.247,37
2.009,00;SC;4.822,55
2.009,00;SE;6,72
2.009,00;SP;12.003,46
2.009,00;TO;1.157,00
2.008,00;AC;28,30
2.008,00;AL;394,30
2.008,00;AM;64,50
2.008,00;AP;,80
2.008,00;BA;3.421,40
2.008,00;CE;332,70
2.008,00;DF;439,20
2.008,00;ES;1.384,70
2.008,00;GO;12.970,80
2.008,00;MA;1.615,50
2.008,00;MG;7.325,10
2.008,00;MS;6.369,40
2.008,00;MT;24.527,00
2.008,00;PA;499,90
2.008,00;PB;86,60
2.008,00;PE;600,20
2.008,00;PI;748,50
2.008,00;PR;24.713,80
2.008,00;RJ;182,80
2.008,00;RN;53,50
2.008,00;RO;386,00
2.008,00;RR;147,70
2.008,00;RS;24.654,70
2.008,00;SC;4.698,90
2.008,00;SE;6,70
2.008,00;SP;11.683,50
2.008,00;TO;1.147,90
2.007,00;AC;28,40
2.007,00;AL;286,30
2.007,00;AM;36,50
2.007,00;AP;,80
2.007,00;BA;3.337,40
2.007,00;CE;378,50
2.007,00;DF;406,10
2.007,00;ES;1.314,90
2.007,00;GO;12.435,70
2.007,00;MA;1.418,40
2.007,00;MG;6.984,30
2.007,00;MS;6.561,60
2.007,00;MT;23.060,80
2.007,00;PA;351,90
2.007,00;PB;102,80
2.007,00;PE;695,20
2.007,00;PI;688,40
2.007,00;PR;25.021,70
2.007,00;RJ;237,50
2.007,00;RN;67,00
2.007,00;RO;483,40
2.007,00;RR;18,90
2.007,00;RS;22.637,90
2.007,00;SC;3.539,90
2.007,00;SE;13,40
2.007,00;SP;11.913,70
2.007,00;TO;1.380,10
2.006,00;AC;28,40
2.006,00;AL;286,30
2.006,00;AM;36,10
2.006,00;AP;,80
2.006,00;BA;3.331,60
2.006,00;CE;378,50
2.006,00;DF;396,30
2.006,00;ES;984,70
2.006,00;GO;12.433,70
2.006,00;MA;1.355,80
2.006,00;MG;6.960,80
2.006,00;MS;6.553,90
2.006,00;MT;22.723,90
2.006,00;PA;351,90
2.006,00;PB;102,80
2.006,00;PE;695,20
2.006,00;PI;605,20
2.006,00;PR;24.944,40
2.006,00;RJ;237,50
2.006,00;RN;67,00
2.006,00;RO;463,90
2.006,00;RR;18,90
2.006,00;RS;22.252,80
2.006,00;SC;3.478,50
2.006,00;SE;13,40
2.006,00;SP;11.913,70
2.006,00;TO;1.371,70
2.005,00;AC;28,40
2.005,00;AL;287,00
2.005,00;AM;36,10
2.005,00;AP;,80
2.005,00;BA;2.895,80
2.005,00;CE;378,50
2.005,00;DF;313,10
2.005,00;ES;917,50
2.005,00;GO;11.188,90
2.005,00;MA;1.163,00
2.005,00;MG;6.316,50
2.005,00;MS;5.920,80
2.005,00;MT;16.088,30
2.005,00;PA;352,50
2.005,00;PB;67,10
2.005,00;PE;694,90
2.005,00;PI;149,00
2.005,00;PR;23.234,30
2.005,00;RJ;237,50
2.005,00;RN;51,60
2.005,00;RO;441,40
2.005,00;RR;18,90
2.005,00;RS;21.207,60
2.005,00;SC;3.311,60
2.005,00;SE;16,50
2.005,00;SP;9.935,60
2.005,00;TO;1.285,50
