ano_agricola;safra;uf;produto;id_produto;id_levantamento;dsc_levantamento;area_plantada_mil_ha;producao_mil_t;produtividade_mil_ha_mil_t
2022                ;UNICA          ;AM;CAFE                                    ;7090; 001;1º LEV              ;2145;44.6;20.8
2022                ;UNICA          ;AM;CAFE                                    ;7090; 002;2º LEV              ;2145;44.6;20.8
2022                ;UNICA          ;AM;CAFE                                    ;7498; 002;2º LEV              ;2000;30.6;15.3
2022                ;UNICA          ;AM;CAFE                                    ;7090; 003;3º LEV              ;2145;44.6;20.8
2022                ;UNICA          ;AM;CAFE                                    ;7498; 003;3º LEV              ;2000;30.6;15.3
2022                ;UNICA          ;AM;CAFE                                    ;7090; 004;4º LEV              ;2145;44.7;20.8
2022                ;UNICA          ;AM;CAFE                                    ;7498; 004;4º LEV              ;2000;30.6;15.3
2022                ;UNICA          ;BA;CAFE                                    ;7090; 001;1º LEV              ;40280;2256;56
2022                ;UNICA          ;BA;CAFE                                    ;7498; 001;1º LEV              ;58310;1704;29.2
2022                ;UNICA          ;BA;CAFE                                    ;7090; 002;2º LEV              ;40280;2296;57
2022                ;UNICA          ;BA;CAFE                                    ;7498; 002;2º LEV              ;52600;1353;25.7
2022                ;UNICA          ;BA;CAFE                                    ;7090; 003;3º LEV              ;40280;2333;57.9
2022                ;UNICA          ;BA;CAFE                                    ;7498; 003;3º LEV              ;52600;1232;23.4
2022                ;UNICA          ;BA;CAFE                                    ;7090; 004;4º LEV              ;40280;2333;57.9
2022                ;UNICA          ;BA;CAFE                                    ;7498; 004;4º LEV              ;52600;1270.5;24.2
2022                ;UNICA          ;ES;CAFE                                    ;7498; 001;1º LEV              ;143305;4250;29.7
2022                ;UNICA          ;ES;CAFE                                    ;7090; 001;1º LEV              ;259174;11600;44.8
2022                ;UNICA          ;ES;CAFE                                    ;7090; 002;2º LEV              ;259174;12162;46.9
2022                ;UNICA          ;ES;CAFE                                    ;7498; 002;2º LEV              ;143305;4297;30
2022                ;UNICA          ;ES;CAFE                                    ;7498; 003;3º LEV              ;143305;4341;30.3
2022                ;UNICA          ;ES;CAFE                                    ;7090; 003;3º LEV              ;259174;12234;47.2
2022                ;UNICA          ;ES;CAFE                                    ;7498; 004;4º LEV              ;143305;4363;30.4
2022                ;UNICA          ;ES;CAFE                                    ;7090; 004;4º LEV              ;259174;12358;47.7
2022                ;UNICA          ;GO;CAFE                                    ;7498; 001;1º LEV              ;5568;250.3;45
2022                ;UNICA          ;GO;CAFE                                    ;7498; 002;2º LEV              ;5857;260.6;44.5
2022                ;UNICA          ;GO;CAFE                                    ;7498; 003;3º LEV              ;6285;280;44.6
2022                ;UNICA          ;GO;CAFE                                    ;7498; 004;4º LEV              ;6193;277.7;44.8
2022                ;UNICA          ;MG;CAFE                                    ;7090; 001;1º LEV              ;9661;309.8;32.1
2022                ;UNICA          ;MG;CAFE                                    ;7498; 001;1º LEV              ;980901;26687.4;27.2
2022                ;UNICA          ;MG;CAFE                                    ;7498; 002;2º LEV              ;1010340;24485.5;24.2
2022                ;UNICA          ;MG;CAFE                                    ;7090; 002;2º LEV              ;9448;305.6;32.3
2022                ;UNICA          ;MG;CAFE                                    ;7090; 003;3º LEV              ;9683;283.1;29.2
2022                ;UNICA          ;MG;CAFE                                    ;7498; 003;3º LEV              ;1007416;21750;21.6
2022                ;UNICA          ;MG;CAFE                                    ;7090; 004;4º LEV              ;9936;390;39.3
2022                ;UNICA          ;MG;CAFE                                    ;7498; 004;4º LEV              ;1008048;21570.1;21.4
2022                ;UNICA          ;MT;CAFE                                    ;7090; 001;1º LEV              ;10994;216.3;19.7
2022                ;UNICA          ;MT;CAFE                                    ;7090; 002;2º LEV              ;10994;225.4;20.5
